16666666

95237122738252	95237165916168	95237130323668

95237139475960	95237182572106	95237146893512

95237155992887	95237199212679	95237163524918

95237172620856	95237215901637	95237180191585

95237190244762	95237232567835	95237196897731

95237205340960	95237249237106	95237213533720

95237222629606	95237265819085	95237230289293

95237239466845	95237282462418	95237246833772

95237256226429	95237299102210	95237263460231

95237271929241	95237315771272	95237280204918

95237289725283	95237332435283	95237296720387

95237305764658	95237349081429	95237313667991

95237323017627	95237365717574	95237330113356

95237339305647	95237382366845	95237346672210

95237356221585	95237399005231	95237363306116

95237371843929	95237415675804	95237379997574

95237389274918	95237432325074	95237396606533

95237406047939	95237449030439	95237413376897

95237422836324	95237465644502	95237430053408

95237439568668	95237482302626	95237447616793

95237455828616	95237498968304	95237463295335

95237471982418	95237515601064	95237479930074

95237489311585	95237532208304	95237496645126

95237505989033	95237548847783	95237513477626

95237522700283	95237565502939	95237529925647

95237539475283	95237582154762	95237546412731

95237555876637	95237598804658	95237563082835

95237571725231	95237615444241	95237579795751

95237589167731	95237632096481	95237596414970

95237605953824	95237648747314	95237613152835

95237622242835	95237665390751	95237629804189

95237639162991	95237682030231	95237646399814

95237655770699	95237698690022	95237663069918

95237671759658	95237715323668	95237679676949

95237689198095	95237731983616	95237696375126

95237705756428	95237748677158	95237712964918

95237722478564	95237765412470	95237729655074

95237738878772	95237781932626	95237746274970

95237755343876	95237798579137	95237762905231

95237772554658	95237815231064	95237779574553

95237789172783	95237831935751	95237796272783

95237805890595	95237848569085	95237812991481

95237822564241	95237865159033	95237829775439

95237839561064	95237881832106	95237846298512

95237856389033	95237898475751	95237862840283

95237871801064	95237915119397	95237879468251

95237888874658	95237931796793	95237896353668

95237905120126	95237948533512	95237912767210

95237922160699	95237965164189	95237929531220

95237938877522	95237981761897	95237946119970

95237955901220	95237998357678	95237962682835

95237972817626	95238015003199	95237979345439

95237989476064	95238031655283	95237995939345

95238005617835	95238048364866	95238012668980

95238021759345	95238065043876	95238029359710

95238038549137	95238081599605	95238045925439

95238055024553	95238098245178	95238063542210

95238071415647	95238114888095	95238079246845

95238088612262	95238131592887	95238095863460

95238105681949	95238148194189	95238112462887

95238122746689	95238164950178	95238129416637

95238138563460	95238181531220	95238145778303

95238155284866	95238198178876	95238162451637

95238171399241	95238214788043	95238179118303

95238188708303	95238231442939	95238195800178

95238205442574	95238248187470	95238212428043

95238222010230	95238264788355	95238229198095

95238238378668	95238281406064	95238245822418

95238255214710	95238298043876	95238262432626

95238271667210	95238314684085	95238279012157

95238288316793	95238331334032	95238295728095

95238305183095	95238347981428	95238312370387

95238321576741	95238364628616	95238329160647

95238338593980	95238381279553	95238345673876

95238355250126	95238397935282	95238362214137

95238371346428	95238414579084	95238378890647

95238387959449	95238431223512	95238395588564

95238404701324	95238447877782	95238412265907

95238421269866	95238464521689	95238428979814

95238438525491	95238481166793	95238445532053

95238456866741	95238497801532	95238462177834

95238471375282	95238514455282	95238478779918

95238487576897	95238531122939	95238495453928

95238505348147	95238547747991	95238512214032

95238521783824	95238564409449	95238528850647

95238537441793	95238581054605	95238545419293

95238554835230	95238597691011	95238562002314

95238572111064	95238614335230	95238578600699

95238588479136	95238631009761	95238595316272

95238604870699	95238647632470	95238611941324

95238621191428	95238664317678	95238628614241

95238637873720	95238680938303	95238645304657

95238654498720	95238697565334	95238661956272

95238670842939	95238714267105	95238678655959

95238688090855	95238730970282	95238695161324

95238704689032	95238747565907	95238711911480

95238721332314	95238764207366	95238728507261

95238737894657	95238780951845	95238745364866

95238755619501	95238797531688	95238761801064

95238771425386	95238814157366	95238778511116

95238788180491	95238830822678	95238795117886

95238804831324	95238847459970	95238811809241

95238821154032	95238864236793	95238828426011

95238837599449	95238880717313	95238845129136

95238854335751	95238897393668	95238861856741

95238871185230	95238914005959	95238878442522

95238887662261	95238930658043	95238894972366

95238904131949	95238947313147	95238911613251

95238921281376	95238963957001	95238928308095

95238937427157	95238980651741	95238944935334

95238954487730	95238997291428	95238961616220

95238970783147	95239013900334	95238978380647

95238987625334	95239030559397	95238994923147

95239004202626	95239047207157	95239011594293

95239020874918	95239063841584	95239028158147

95239037793355	95239080491115	95239044829032

95239053833668	95239097223355	95239061527418

95239070654865	95239113894240	95239078191324

95239087794136	95239130576793	95239095056584

95239103546949	95239147135230	95239111437678

95239121125855	95239163786793	95239128198824

95239137579449	95239180424918	95239144844449

95239154163407	95239197118772	95239161540126

95239171072470	95239213691688	95239178171324

95239187420282	95239230310751	95239194724761

95239204125126	95239246952261	95239211450074

95239221180803	9223372036854775807	95239227814761
